category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
Economics,inactive,MHB,mhb,equal,4004,4004.0,0.8832438857873237,0.04556715020451249
Economics,inactive,DR normal,dr_normal,volume,4004,237962.21000000002,2.177316929221294,0.07595561377919943
Economics,inactive,DR-AS normal,dras_normal,volume,4004,237962.21000000002,3.0666918362917106,0.1706828777198531
Economics,inactive,"Beta, no hurdle",beta_no_hurdle,volume,4004,237962.21000000002,2.8327952041290176,0.13221651154233127
Economics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,4004,237962.21000000002,0.2808201254842978,0.06323410334431234
Economics,inactive,MHB,mhb,volume,4004,237962.21000000002,0.3204006486811853,0.12275083970172071
Economics,inactive,DR normal,dr_normal,contract_balanced,4004,24.0,1.5334580854239181,0.03995072757738365
Economics,inactive,DR-AS normal,dras_normal,contract_balanced,4004,24.0,2.7330759879553654,0.11919470275458684
Economics,inactive,"Beta, no hurdle",beta_no_hurdle,contract_balanced,4004,24.0,2.494410324121488,0.09489546224222158
Economics,inactive,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,4004,24.0,1.101396895463506,0.0785393656173247
Economics,inactive,MHB,mhb,contract_balanced,4004,24.0,1.0098321120237272,0.0902102249623477
